latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
3.95886,33.82845,330.95,0.67,0.74,2025-01-18,0,N20,VIIRS,n,2.0NRT,288.65,8.53,N
3.9599,33.82267,323.7,0.67,0.74,2025-01-18,0,N20,VIIRS,n,2.0NRT,286.6,6.99,N
4.12741,32.84517,304.39,0.57,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,289.52,2.06,N
4.15282,32.7021,304.7,0.56,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.04,2.5,N
4.15914,32.70274,318.82,0.56,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,294.44,2.5,N
4.1598,32.69899,317.44,0.56,0.68,2025-01-18,0,N20,VIIRS,n,2.0NRT,291.74,4.68,N
4.17767,33.99219,301.49,0.68,0.74,2025-01-18,0,N20,VIIRS,n,2.0NRT,290.5,2.23,N
4.18342,33.05915,307.68,0.59,0.7,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.19,3.04,N
4.18674,33.98018,304.3,0.68,0.74,2025-01-18,0,N20,VIIRS,n,2.0NRT,291.52,2.58,N
4.18705,34.01769,303.25,0.68,0.74,2025-01-18,0,N20,VIIRS,n,2.0NRT,291.03,2.49,N
4.18779,33.05956,311.47,0.59,0.7,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.04,2.33,N
4.19428,33.97676,305.35,0.68,0.74,2025-01-18,0,N20,VIIRS,n,2.0NRT,290.7,1.94,N
4.24724,32.52784,328.23,0.54,0.68,2025-01-18,0,N20,VIIRS,n,2.0NRT,290.06,4.23,N
4.24808,32.52299,300.32,0.54,0.68,2025-01-18,0,N20,VIIRS,n,2.0NRT,288.43,2.42,N
4.25171,32.67754,303.04,0.55,0.68,2025-01-18,0,N20,VIIRS,n,2.0NRT,290.27,1.31,N
4.26968,32.32577,308.76,0.52,0.67,2025-01-18,0,N20,VIIRS,n,2.0NRT,292.07,1.53,N
4.28048,32.87945,303.67,0.57,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,289.69,0.58,N
4.30206,31.96285,316.52,0.49,0.65,2025-01-18,0,N20,VIIRS,n,2.0NRT,290.33,1.72,N
4.30889,32.27973,313.13,0.52,0.67,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.7,3.94,N
4.30992,32.2812,309.97,0.52,0.67,2025-01-18,0,N20,VIIRS,n,2.0NRT,294.05,3.86,N
4.31553,32.27738,303.4,0.52,0.67,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.33,2.38,N
4.32531,32.36676,316.53,0.52,0.67,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.95,2.74,N
4.32585,32.36763,313.08,0.52,0.67,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.8,1.96,N
4.35642,32.09014,302.33,0.5,0.66,2025-01-18,0,N20,VIIRS,n,2.0NRT,289.84,0.56,N
4.49067,33.172,303.09,0.59,0.7,2025-01-18,0,N20,VIIRS,n,2.0NRT,290.13,0.64,N
4.50866,32.58165,305.46,0.54,0.68,2025-01-18,0,N20,VIIRS,n,2.0NRT,289.41,1.02,N
4.50891,32.58335,307.22,0.54,0.68,2025-01-18,0,N20,VIIRS,n,2.0NRT,289.52,1.23,N
4.53204,33.53976,302.98,0.63,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,288.98,0.74,N
4.55071,33.50766,311.48,0.62,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.34,3.15,N
4.55141,33.50554,329.14,0.62,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,294.14,6.02,N
4.55159,33.50276,323.66,0.62,0.71,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.27,3.15,N
4.55228,33.50053,310.8,0.62,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,292.95,3.97,N
4.55701,33.50992,310.45,0.62,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.34,1.81,N
4.55776,33.50761,313.08,0.62,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.48,3.73,N
4.55795,33.50469,307.76,0.62,0.71,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.28,1.81,N
4.55866,33.50235,304.13,0.62,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.17,2.25,N
4.57133,33.58025,303.92,0.63,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,291.02,1.87,N
4.57253,33.57351,309.52,0.63,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,291.38,1.87,N
4.57322,32.85635,305.35,0.56,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,292.5,1.93,N
4.57712,33.54776,313.11,0.63,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,292.23,3.38,N
4.58621,33.57233,319.85,0.63,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.28,3.6,N
4.59064,33.54734,325.59,0.63,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,293.19,2.45,N
4.59226,33.53818,302.66,0.62,0.72,2025-01-18,0,N20,VIIRS,n,2.0NRT,290.75,2.45,N
4.61678,32.90213,308.08,0.56,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,292.33,2.14,N
4.64642,32.86694,304.91,0.56,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,292.62,1.7,N
4.64831,32.86914,303.59,0.56,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,292.38,2.48,N
4.65144,32.87483,304.2,0.56,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,292.58,3.38,N
4.65238,32.86963,304.18,0.56,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,291.79,1.7,N
4.65407,32.87311,309.89,0.56,0.69,2025-01-18,0,N20,VIIRS,n,2.0NRT,292.62,2.07,N
